ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
170,VIRTUS COLEGIO,EST ENG MARCILAC,1095,,04891-000,+55 11 5920-8762,,,colegiovirtus@superig.com.br,35194924,EP
171,HILTON REIS SANTOS PROF,EST ENG MARCILAC,8029,"KM 45,8",04893-000,+55 11 5978-6227,+55 11 5978-6792,+55 11 5978-6792,e005344a@educacao.sp.gov.br,35005344,EE
172,ADRIAO BERNARDES PROF,EST ITAQUAQUECETUBA,9953,,04872-060,+55 11 5974-2042,+55 11 5974-2092,,e038261a@educacao.sp.gov.br,35038261,EE
173,INDIGENA GUARANI GWYRA PEPO,EST JOAO LANG,153,,04895-070,+55 11 5978-4545,+55 11 5978-4800,,e925135a@educacao.sp.gov.br,35925135,EEI
174,BELIZE,EST VOVO CAROLINA,SN,,08473-370,+55 11 2736-2421,,,e284324a@educacao.sp.gov.br,35284324,EE
175,CAMINHANDO COLEGIO,LARGO PADRE PERICLES,48,,01156-040,+55 11 3666-9008,,,,35139877,EP
176,NAVEGANTES CEU EMEI,MARIA MOASSAB BARBOUR,SN,,04849-503,+55 11 5976-5508,+55 11 5976-5507,,,35057733,CEU EMEI
177,PARQUE DAS NACOES CENTRO DE EDUCACAO INFANTIL,PAULO PATARRA,SN,,02996-205,+55 11 3944-1559,,,ceiparquedasnacoes@outlook.com,35565313,CEI INDIR
178,PROVIM - PROGRAMA VIDA MELHOR - DOM BOSCO,PRACA CORONEL FERNANDO PRESTES,233,,01124-060,,,,,35572238,EDUCAÇÃO COMPLEMENTAR
179,JARDIM GUARAU - SAO MIGUEL,PRACA CLOVIS GONCALVES CORTES,SN,,05549-130,,,,,35570597,EDUCAÇÃO COMPLEMENTAR
180,JOCA,PRACA DOM LUIS DE MASCARENHAS,49,,04468-050,,,,,35574016,EDUCAÇÃO COMPLEMENTAR
181,ALBERTO SCHWEITZER,PC MATACOES,35,,08120-180,+55 11 2963-2497,+55 11 2567-4335,+55 11 2567-4335,e002938a@educacao.sp.gov.br,35002938,EE
182,EVA LUIZA ROSA CENTRO DE EDUCACAO INFANTIL II,PRACA NAPOLEAO,17,,05203-230,+55 11 2362-5994,,,magavalente@ig.com.br,35568077,CR.P.CONV
183,PROFESSOR JOSE HERCULANO PIRES II,PC RENE BARRETO,53,,05074-030,,,,,35574673,EDUCAÇÃO COMPLEMENTAR
184,SAO SEBASTIAO,PC STELIO MACHADO LOUREIRO,1,,02052-050,,,,,35572834,EDUCAÇÃO COMPLEMENTAR
185,ELISA MARIA,PASSAGEM RAFAEL ARINO,68,,02873-100,,,,,35571660,EDUCAÇÃO COMPLEMENTAR
186,ESPACO FELIZ CENTRO DE EDUCACAO INFANTIL II,R ABACATUAJA,167,,08190-420,,,,,35569860,PRIVADA COMUNITÁRIA
187,SAO JOSE OPERARIO I,R ABNER RIBEIRO BORGES,36,,08380-045,,,,,35575951,EDUCAÇÃO COMPLEMENTAR
188,FUTURO ESPERANCA,R ABRANCHES DE MOURA,121,,04164-240,,,,,35571866,EDUCAÇÃO COMPLEMENTAR
189,CAMILLE FLAMMARION,R ADALBERTO KURT,915,,05138-040,,,,,35574557,EDUCAÇÃO COMPLEMENTAR
190,JARDIM PRINCESA,R ADOLFO LAZZARI,58,,02856-020,,,,,35571635,EDUCAÇÃO COMPLEMENTAR
191,TIJOLINHO,R AFONSO DE CARVALHO,16,,02978-040,,,,,35571313,EDUCAÇÃO COMPLEMENTAR
192,NENO PADRE CENTRO DE EDUCACAO INFANTIL,R AGRIPIANO BARROS,133,,02989-090,+55 11 3851-5527,,,,35563833,CR.P.CONV
193,ALGODAO DOCE CENTRO DE EDUCACAO INFANTIL,R AGUA DOCE DE MANTENA,264,,02984-040,+55 11 95322-9326,,+55 11 2849-3398,institutoanjossolidarios@hotmail.com,35566494,CR.P.CONV
194,JARDIM PIRITUBA,R AGUA DOCE DE MANTENA,271,,02984-040,,,,,35574867,EDUCAÇÃO COMPLEMENTAR
195,JOSE RAMOS FILHO,R ALBA VALDEZ,3,,04845-200,,,,,35571436,EDUCAÇÃO COMPLEMENTAR
196,JOVA RURAL I,R ALBERTINO JOSE DE OLIVEIRA,300,,02281-250,,,,,35573267,EDUCAÇÃO COMPLEMENTAR
197,ALEGRIA E VIDA,R ALBERTO CALLIX,158,,05267-030,,,,,35574429,EDUCAÇÃO COMPLEMENTAR
198,QUERUBIM CENTRO DE EDUCACAO INFANTIL,R ALCATIRA,49,,02478-020,+55 11 3984-9673,,,,35456159,CR.P.CONV
199,CASA DOS MENINOS II,RUA ALDEIA DOS MACHACALIS,698,,08430-000,,,,,35571179,EDUCAÇÃO COMPLEMENTAR
200,ANA ROSARIA CENTRO DE EDUCACAO INFANTIL,R ALDO LOMBARDI,72,,08471-130,+55 11 2557-5793,,,,35441200,CR.P.CONV
201,JARDIM INGA,R ALEXANDRE BENING,200,,05736-040,,,,,35575422,EDUCAÇÃO COMPLEMENTAR
202,BARRO BRANCO I,RUA ALEXANDRE DAVID DENKO,776,,08473-792,,,,,35571210,EDUCAÇÃO COMPLEMENTAR
203,PRINCIPE ENCANTADO CENTRO DE EDUCACAO INFANTIL,R ALMEIDA FALCAO,62,,08371-190,+55 11 2153-7270,,,associacao.criancasdedeus@gmail.com,35564308,CR.P.CONV
204,ABELHINHA FELIZ,R ALTO DO CANDOSO,76,78,05812-010,,,,,35575461,EDUCAÇÃO COMPLEMENTAR
205,PROJETO CULTURAL VIVARTE DANIEL COMBONI,R ALTO JARDIM,50,A,03977-690,,,,,35575677,EDUCAÇÃO COMPLEMENTAR
206,LUIS AMBRA DESEMBARGADOR,R ALTOLANDIA,110,,08151-280,+55 11 2035-1863,,,e284300a@educacao.sp.gov.br,35284300,EE
207,ANHANGUERA,R AMADEU CAEGO MONTEIRO,209,,05271-250,,,,,35574442,EDUCAÇÃO COMPLEMENTAR
208,CASA DOM MACARIO,R AMAMBAI,1415,,02115-002,,,,,35572861,EDUCAÇÃO COMPLEMENTAR
209,JARDIM SAO PAULO CONSERVATORIO MUSICAL,R AMARAL GAMA,242,,02018-000,+55 11 2979-5804,,,,35257199,EP
210,UNIVERSIDADE PAULISTA UNIP CAMPUS NORTE,R AMAZONAS DA SILVA,737,,02051-001,+55 11 2790-1550,,,fcobastos@unip.br,35567395,PRONATEC/IES
211,LUCA,R AMERICA LATINA,47,,05850-110,,,,,35575288,EDUCAÇÃO COMPLEMENTAR
212,CASA DO ZEZINHO,R ANALIA DOLACIO ALBINO,30,,05854-020,,,,,35575239,EDUCAÇÃO COMPLEMENTAR
213,PRESBITERIANO CENTENARIO COLEGIO,R ANDRE DA FONSECA,270,,02135-010,+55 11 3853-0500,,,secretaria@colegiopcentenario.com.br,35563626,EP
214,ANUNCIACAO FERREIRA CENTRO DE EDUCACAO INFANTIL,R ANDRE DE ALMEIDA,1010,,03950-000,+55 11 2019-3002,,,instituto@cemporcentosocial.org.br,35569811,PRIVADA - FILANTRÓPICA
215,DOCE VITORIA,R ANDRE REGIO,83,,08473-310,+55 11 2153-8316,,,ceidocevitoria@bol.com.br,35389473,CR.P.CONV
216,PARQUE FIGUEIRA GRANDE I EMEI,R ANGELO FRANCISCO,111,,04915-030,+55 11 5897-5361,,,,35566718,EMEI
217,ACM - SANTO AMARO,R ANGELO HERRERO,168,,04746-070,,,,,35574119,EDUCAÇÃO COMPLEMENTAR
218,PASCHOAL BIANCO,R ANTENAS,582,,03213-000,,,,,35572073,EDUCAÇÃO COMPLEMENTAR
219,SAO JOSE DE ANCHIETA COLEGIO,R ANTONIA TERESA DE PAULA MATIAS,563,,03728-010,+55 11 2623-7472,,,,35568557,EP
220,NOSSA SENHORA DO O,R ANTONIETA LEITAO,375,,02925-160,,,,,35571301,EDUCAÇÃO COMPLEMENTAR
221,SAO JOAO,R ANTONIO BASTOS,17,,08370-350,,,,,35576086,EDUCAÇÃO COMPLEMENTAR
222,OLEGARIO MARIANO EMEF,RUA ANTONIO BORGES DA FONSECA,15,,04836-120,+55 11 5971-7216,+55 11 5972-0861,,,35054343,EMEF
223,GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI PROFESSORA EMEF,R ANTONIO CALIXTO DA SILVA,331,,04809-240,+55 11 5667-4741,,,,35415397,EMEF
224,SANTA OLIMPIA,R ANTONIO CAVAZZAM,685,,02534-001,,,,,35571702,EDUCAÇÃO COMPLEMENTAR
225,CEI FAMILIA MONTE BELO,RUA ANTONIO DE PADUA DIAS,63,,05200-070,+55 11 3919-4602,,,,35576189,PRIVADA COMUNITÁRIA
226,PROJETO SEMEANDO VIDA IV,R ANTONIO DE PADUA DIAS,857,859,05202-070,,,,,35574824,EDUCAÇÃO COMPLEMENTAR
227,CRISPIM DE VILA PAULISTA,R ANTONIO DOS REIS CRISPIM,19,,08490-660,,,,,35571118,EDUCAÇÃO COMPLEMENTAR
228,CASA FILADELFIA,R ANTONIO FORTUNATO,627,,03681-000,,,,,35573848,EDUCAÇÃO COMPLEMENTAR
229,SANTA ROSA DE LIMA,R ANTONIO GABRIEL FRANZON,555,,03979-080,,,,,35575586,EDUCAÇÃO COMPLEMENTAR
230,PROJETO VIDA,R ANTONIO GABRIEL FRANZON,84,,03979-080,,,,,35575574,EDUCAÇÃO COMPLEMENTAR
231,SANTA CRISTINA,R ANTONIO JOSE VAZ,293,,04191-190,,,,,35571805,EDUCAÇÃO COMPLEMENTAR
232,CEI GALPAO ATRIA II,R ANTONIO LOMBARDO,165,,03572-230,,,,,35576190,PRIVADA COMUNITÁRIA
233,UNIVERSIDADE PAULISTA UNIP CAMPUS TATUAPE,R ANTONIO MACEDO,505,,03087-010,+55 11 2090-4500,,,fcobastos@unip.br,35567425,PRONATEC/IES
234,RECANTO DOS HUMILDES I,R ANTONIO MAIA,319,,05204-110,,,,,35574806,EDUCAÇÃO COMPLEMENTAR
235,JOSE LA TORRE PROFESSOR EMEI,R ANTONIO MARCONDES BOETA,30,,04883-210,+55 11 5926-0850,+55 11 5920-8156,,,35002276,EMEI
236,NOVOS RUMOS CENTRO DE EDUCACAO INFANTIL,R ANTONIO NETO CALDEIRA,46,468,03475-040,+55 11 2011-6068,,,cei.novosrumos@bol.com.br,35562014,CR.P.CONV
237,IRAPIRANGA,R ANTONIO NUNES DE AZEVEDO,684,,05891-170,,,,,35575148,EDUCAÇÃO COMPLEMENTAR
238,AMAS - VILA MEDEIROS,R ANTONIO PALMIERI,315,,02210-000,,,,,35572998,EDUCAÇÃO COMPLEMENTAR
239,VILA EMA EMEI,R ANTONIO PIRES DE CAMPOS,98,,03283-060,,,,,35414864,EMEI
240,VILA SAO GERALDO - 3 MILENIO,R ANTONIO SOARES PAIS,414,,08460-500,,,,,35571246,EDUCAÇÃO COMPLEMENTAR
241,JARDIM COPACABANA - M BOI MIRIM,R ANTONIO VICTOR DE OLIVEIRA,6,A,04939-070,,,,,35575185,EDUCAÇÃO COMPLEMENTAR
242,JARDIM SAO JOSE,RUA ANUM BRANCO,17,,05887-300,,,,,35574971,EDUCAÇÃO COMPLEMENTAR
243,UNIVERSIDADE PAULISTA UNIP CAMPUS PARAISO,R APENINOS,267,,01533-000,+55 11 3347-1000,,,fcobastos@unip.br,35567346,PRONATEC/IES
244,GLOBAL COLEGIO UNIDADE II,R APINAJES,1231,,05017-000,+55 11 3673-3577,,,marciaregina@colegioglobal.com,35563298,EP
245,SETOR G E ADJACENCIAS,RUA APOSTOLO ANDRE,76,,08475-550,,,,,35571039,EDUCAÇÃO COMPLEMENTAR
246,RECANTO DOS HUMILDES II,R AQUILINO RIBEIRO,60,,05204-050,,,,,35574843,EDUCAÇÃO COMPLEMENTAR
247,HARMONIA MOEMA BERCARIO,R ARAGUARI,86,,04514-040,+55 11 5054-3479,,,,35497034,EP
248,VILA PROGRESSO,R ARDISIA,1,,08245-230,,,,,35573437,EDUCAÇÃO COMPLEMENTAR
249,RECANTO DOS HUMILDES III,R ARGELIA,11,,05212-020,,,,,35574797,EDUCAÇÃO COMPLEMENTAR
250,VILA DA CRIANCA ESCOLA INFANTIL,R ARISTODEMO GAZZOTTI,595,,05840-020,+55 11 3445-3337,,,cristianefulgencio_25@yahoo.com.br,35563638,EP
251,LACERDINHA ESCOLA DE EDUCACAO INFANTIL,R ARMANDO RODRIGUES TAVARES,119,,04929-030,+55 11 5517-6381,,,escolalacerdinha@hotmail.com,35566500,EP
252,ESTRELA BABY ESCOLA DE EDUCACAO INFANTIL,R ARNALDO JOAO,83,,03660-000,+55 11 2791-3406,,,,35383946,EP
253,MUNDO DAS LETRINHAS ESCOLA DE EDUCACAO INFANTIL,RUA ARQUIMEDES,62,,036932-220,,,,,35463450,EP
254,IMACULADA CONCEICAO I,R ARVORE DA VIDA,11,,05885-700,,,,,35575094,EDUCAÇÃO COMPLEMENTAR
255,BOM JESUS,RUA ASA BRANCA,102,,05333-120,,,,,35574485,EDUCAÇÃO COMPLEMENTAR
256,CHAVEIRINHO DO CEU CENTRO DE EDUCACAO INFANTIL,R ASCENSO FERNANDES,604,,08081-040,+55 11 99577-0179,,,crerassociacao@gmail.com,35563651,CR.P.CONV
257,VOVO CIDA NUCLEO PROGRAMA DE ACOLHIMENTO INFANTIL,R ASTORGA,801,,03542-000,+55 11 3881-1364,,,nucleovovocida@invar.org.br,35568636,EP
258,ASSORAVIM,R ATALIBA VIEIRA,1034,,02216-000,,,,,35572974,EDUCAÇÃO COMPLEMENTAR
259,NUCLEO CULTURAL SONHO JOVEM,R AUGUSTIN LUBERTI,1053,,03977-409,,,,,35575707,EDUCAÇÃO COMPLEMENTAR
260,COLEGIO FORTH UNIDADE II,R AUGUSTO CORREA LEITE,499,,03726-100,+55 11 2038-1421,,,colegio.santgerman@hotmail.com,35375724,EP
261,NOSSO LAR I,R AUGUSTO JOSE AVANCINI,248,,05568-050,,,,,35570734,EDUCAÇÃO COMPLEMENTAR
262,MUTIRAO JARDIM FONTALIS,R AUGUSTO RODRIGUES,291,,02360-010,,,,,35573292,EDUCAÇÃO COMPLEMENTAR
263,JARDIM GUARUJA II,R AURELIA DE SOUSA,SN,,05877-160,,,,,35575033,EDUCAÇÃO COMPLEMENTAR
264,NOSSO LAR - TATUAPE,R BAEPENDI,82,,03077-070,,,,,35573668,EDUCAÇÃO COMPLEMENTAR
265,AMARELINHA CENTRO DE EDUCACAO INFANTIL,R BAGAGEIRO,14,,05203-410,+55 11 96673-3007,,,magavalente@gmail.com.br,35567917,PRIVADA COMUNITÁRIA
266,REVOLUCAO CEI,R BAIA DE SAO MARCOS,39,,08141-470,+55 11 97984-6313,,,,35564936,CR.P.CONV
267,JARDIM TIETE,R BANDEIRA DO SUL,461,,03944-120,,,,,35575744,EDUCAÇÃO COMPLEMENTAR
268,TIQUINHO DE ALEGRIA CENTRO DE EDUCACAO INFANTIL,R BARRA DE SANTA ROSA,273,,03817-010,+55 11 2545-0402,,,ceicrescendocomalegria@hotmail.com,35566342,CR.P.CONV
269,SANTA CRUZ,RUA BARTOLOMEU DE RIBEIRA,33,,05330-031,,,,,35574454,EDUCAÇÃO COMPLEMENTAR
270,PIRRALHINHOS CENTRO DE EDUCACAO INFANTIL,R BARTOLOMEU DOS SANTOS,541,,05821-030,+55 11 5894-4500,,,crechepirralhinhos@hotmail.com,35566385,CR.P.CONV
271,SAO LUIS COLEGIO UNIDADE II,R BELA CINTRA,985,,01415-000,+55 11 3138-9600,,+55 11 3138-9728,,35388117,PRIVADA - FILANTRÓPICA
272,MONDRIAN COLEGIO,R BELA FLOR,220,,04128-050,+55 11 2276-1100,,,,35132561,EP
273,MARCELO TULMAN NETO,RUA BELADONA,372,,08161-330,+55 11 2035-3699,,,e902834a@educacao.sp.gov.br,35902834,EE
274,VOVO MARIAZINHA ROCHA CEI,R BENEDITO SCHUNCK,2,,04893-050,,,,,35571416,PRIVADA COMUNITÁRIA
275,JOSE REGINALDO DA FONSECA CENTRO DE EDUCACAO INFANTIL II,R BERCO UDLER,65,,05767-330,+55 11 3501-4799,,,ceijosereginaldo2@yahoo.com.br,35568065,CR.P.CONV
276,SAO PATRICIO,R BERNARDINO PANTALEAO,20,28,03276-120,,,,,35572354,EDUCAÇÃO COMPLEMENTAR
277,JARDIM LARANJEIRAS,R BERNARDO ANTUNES ROLIM,12,B,08380-420,,,,,35575975,EDUCAÇÃO COMPLEMENTAR
278,JARDIM SILVEIRA,R BERNARDO CALVO,40,,04892-050,,,,,35571052,EDUCAÇÃO COMPLEMENTAR
279,SAL DA TERRA,R BICA DE PEDRA,294,,05028-140,,,,,35574582,EDUCAÇÃO COMPLEMENTAR
280,LEOPOLDINA,R BLUMENAU,66,,05319-020,,,,,35574569,EDUCAÇÃO COMPLEMENTAR
281,UNIVERSO BABY BERCARIO,R BOAVENTURA RODRIGUES DA SILVA,761,,03801-120,+55 11 2825-2850,,,bercariouniversobaby@hotmail.com,35563973,EP
282,MARTINS OLIVEIRA COLEGIO,R BOAVENTURA RODRIGUES DA SILVA,872,,03801-120,+55 11 2943-5870,,,,35460771,EP
283,CANTINHO DA ESPERANCA - SANTA MADALENA,RUA BOLEADEIRAS,225,,03980-040,,,,,35575537,EDUCAÇÃO COMPLEMENTAR
284,UNIVERSITARIO BUTANTA,R BOTUROCA,132,,05586-010,+55 11 3294-9629,+55 11 3721-9629,,faleconosco@universitariobutanta.com,35164616,EP
285,BELO FUTURO INTERNACIONAL COLEGIO UNIDADE II,R BARAO DE COTEGIPE,61,75-111,04721-040,+55 11 5546-0098,,,secretaria@colegiobelofuturo.com.br,35569240,EP
286,EDUCANDARIO SAGRADA FAMILIA,RUA BARAO DE LORETO,182,,04265-030,,,,,35572263,EDUCAÇÃO COMPLEMENTAR
287,BATISTA CEPELOS ESCOLA MUNICIPAL EDUCACAO INFANTIL,RUA BARAO DO RIO DA PRATA,5,,04231-004,+55 11 2272-9551,+55 11 2273-3381,,,35051834,EMEI
288,NATALIA REZINO I CENTRO DE EDUCACAO INFANTIL,R BRACARA,66,,05890-020,+55 11 5827-3280,,,ceinataliarezino1@gmail.com,35569987,PRIVADA COMUNITÁRIA
289,M D VIDA NOVA INSTITUTO DE EDUCACAO INFANTIL,R BRAGA,49,,04326-140,+55 11 2649-6859,,,md_vidanova@yahoo.com.br,35568961,EP
290,GRAOZINHO DE OURO CENTRO DE EDUCACAO INFANTIL,R BRAZ BALTAZAR DA SILVEIRA,251,,05208-160,+55 11 3917-7885,,,cristina_cmj@hotmail.com,35563778,CR.P.CONV
291,ACM - LAPA,RUA BRIGADEIRO GAVIAO PEIXOTO,1100,,05078-000,,,,,35574648,EDUCAÇÃO COMPLEMENTAR
292,SANTO EXPEDITO,RUA BRIGADEIRO XAVIER DE BRITO,335,,05205-110,,,,,35571453,EDUCAÇÃO COMPLEMENTAR
293,VILA LONDRINA,R BRITA,170,,03731-090,,,,,35573711,EDUCAÇÃO COMPLEMENTAR
294,CAMINHO CERTO CENTRO DE EDUCACAO INFANTIL,R CABO JOEL LEITE,648,,08223-130,+55 11 2141-8120,,,david.luc@bol.com.br,35563109,CR.P.CONV
295,ESPACO CONVIVER E APRENDER,RUA CABO OSCAR ROSSINI,991,,02186-030,,,,,35572937,EDUCAÇÃO COMPLEMENTAR
296,BERNARDO GORA PADRE CENTRO DE EDUCACAO INFANTIL,R CABURES-DO-SOL,125,,02651-120,+55 11 2258-3200,,,,35566226,CR.P.CONV
297,CEBECH INACIO MONTEIRO,R CACHOEIRA MORENA,690,,08472-610,,,,,35571124,EDUCAÇÃO COMPLEMENTAR
298,CACHOEIRA DE SAO BENEDITO CEI INDIRETO,R CACHOEIRA SAO BENEDITO,100,,03254-390,,,,,35518897,CEI INDIR
299,FONTE DO SABER II CENTRO DE EDUCACAO INFANTIL,R CAETANO DO AMARAL,129,,03382-130,+55 11 2924-7907,,,lupin16@ig.com.br,35566184,CR.P.CONV
300,AZIZ NACIB AB SABER,R CALOGERO CALIA,570,,04152-101,,,,,35571891,EDUCAÇÃO COMPLEMENTAR
301,PAULO DE TARSO,R CAMACAM,436,,05095-000,,,,,35574659,EDUCAÇÃO COMPLEMENTAR
302,VIVER A VIDA NUCLEO DE EDUCACAO INFANTIL,RUA CAMILO,1053,,05045-020,+55 11 3801-1495,,,,35347243,EP
303,SAO FRANCISCO - SANTO ANDRE,R CAMPO DE PIRATININGA,75,,08390-070,,,,,35575860,EDUCAÇÃO COMPLEMENTAR
304,MAGNU'S ESCOLA DE EDUCACAO INFANTIL,R CANAPOLIS,277,,02220-070,+55 11 2951-2731,,,,35335859,EP
305,SACOMA - PLACIDO DE SOUZA FILHO,R CANCAO DO EXILIO,207,,04194-290,,,,,35571799,EDUCAÇÃO COMPLEMENTAR
306,PINGOS DO AMANHA CENTRO DE EDUCACAO INFANTIL,R CANCAO DOS OLHOS,129,,08110-130,,,,ceipingodoamanha@hotmail.com,35565124,CR.P.CONV
307,UNIVERSIDADE PAULISTA UNIP CAMPUS CHACARA SANTO ANTONIO,R CANCIONEIRO POPULAR,210,,04710-000,+55 11 2114-4000,,,fcobastos@unip.br,35567224,PRONATEC/IES
308,AMIGOS DAS CRIANCAS DE SAO DOMINGOS,R CANELINHA,63,,05159-430,,,,,35574545,EDUCAÇÃO COMPLEMENTAR
309,BELEZINHA CENTRO DE EDUCACAO INFANTIL,R CANTANHEDE,300,,05790-150,+55 11 8183-0996,,,,35444625,CEI INDIR
310,PASCHOAL DANTAS UNIDADE III COLEGIO,RUA CAPITAO AVELINO CARNEIRO,245,,03603-010,+55 11 2942-8100,,,coordpc@colegiopaschoaldantas.com.br,35288559,EP
311,AVIAOZINHO DE PAPEL CENTRO DE EDUCACAO INFANTIL,RUA CAPITAO AVELINO CARNEIRO,412,,03603-010,+55 11 2082-0646,,,nucleoeducando@gmail.com,35433032,CR.P.CONV
312,FLOR DA VIDA RECREACAO ESCOLA,RUA CAPITAO OTAVIO MACHADO,345,,04718-000,+55 11 3807-5922,,,contato@espacoflordavida.com.br,35566688,EP
313,VALO VELHO,RUA CAPANNORI,44,,05877-200,,,,,35570394,EDUCAÇÃO COMPLEMENTAR
314,LAR BATISTA DE CRIANCAS,R CAPOEIRANA,10,,05765-190,,,,,35575410,EDUCAÇÃO COMPLEMENTAR
315,SAINT HILAIRE COLEGIO,R CARAVELAS,341,,04012-060,+55 11 3051-6858,,+55 11 3051-2134,,35456950,EP
316,SAO PAULO DA CRUZ,RUA CARDEAL ARCO VERDE,950,,05408-001,,,,,35570965,EDUCAÇÃO COMPLEMENTAR
317,CLARICE FERRAZ WEY,RUA CARLANTONIO CARLONE,102,,05529-090,,,,,35570266,EDUCAÇÃO COMPLEMENTAR
318,VERIDIANA CAMACHO CARVALHO GOMES PROFA,R CARLOS DOS SANTOS,781,,02234-000,+55 11 2242-6177,+55 11 2249-2168,+55 11 2242-6177,e037783a@educacao.sp.gov.br,35037783,EE
319,CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA,R CARLOS DOS SANTOS,781,,02234-000,+55 11 2249-2168,,+55 11 2242-6177,e037783a@educacao.sp.gov.br,35458314,CEL
320,GUADALUPE,R CARLOS MARIGHELLA,36,,05273-040,,,,,35574417,EDUCAÇÃO COMPLEMENTAR
321,CONJUNTO HABITACIONAL ITAQUERA IV CEI,R CASA NO CAMPO,10,,08257-050,+55 11 2071-3988,,,,35478404,CEI INDIR
322,NAIR OLEGARIO CAJUEIRO,R CATALDO PARRILHA,215,A,04930-055,+55 11 5518-2324,+55 11 5518-2016,,e438042a@educacao.sp.gov.br,35438042,EE
323,PAULISTANO,R CATRIMANI,280,,03555-030,,,,,35573759,EDUCAÇÃO COMPLEMENTAR
324,SAO FRANCISCO DE ASSIS - PADRE BATISTA,RUA CONDE DE AVILEZ,178,,08285-310,,,,,35572500,EDUCAÇÃO COMPLEMENTAR
325,SAO JOSE - CCNSA,RUA CONDESSA AMALIA MATARAZZO,47,,02652-000,,,,,35571738,EDUCAÇÃO COMPLEMENTAR
326,MAPLE BEAR CANADIAN SCHOOL SANTANA,RUA CONDESSA SICILIANO,295,,02044-050,+55 11 3530-1422,,,,35568200,EP
327,SAMMUTTI,RUA CORONEL BENEDITO FERREIRA DE SOUZA,9,,03953-090,,,,,35576074,EDUCAÇÃO COMPLEMENTAR
328,HELIOPOLIS,RUA CORONEL DA SILVA CASTRO,58,,04231-015,,,,,35571969,EDUCAÇÃO COMPLEMENTAR
329,DENTE DE LEITE CENTRO DE EDUCACAO INFANTIL,RUA CORONEL FRANCISCO INACIO,75,,04286-000,+55 11 5061-1895,,,marcosmrf999@gmail.com,35566238,CR.P.CONV
330,MIRANDA COLEGIO DE EIFM,R CORONEL JOSE RUFINO FREIRE,83,,05159-500,+55 11 3901-0886,+55 11 3903-5442,,colegiomiranda@terra.com.br,35151506,EP
331,MAPLE BEAR MOOCA,R CORONEL JOVINIANO BRANDAO,407,,03127-175,+55 11 2881-2327,,+55 11 2918-6008,,35565647,EP
332,BOM PASTOR,R CESAR DOMENICO,85,,08255-480,,,,,35572615,EDUCAÇÃO COMPLEMENTAR
333,SHADDAI CENTRO DE EDUCACAO INFANTIL,R CESAR PENA RAMOS,742,,02563-000,+55 11 99358-2656,,,,35563080,CR.P.CONV
334,UNIVERSIDADE CIDADE DE SAO PAULO UNICID EEP,R CESARIO GALENO,475,,03071-000,+55 11 2178-1410,,+55 11 2178-1415,luiz.amaral@cruzeirodosul.edu.br,35562361,PRONATEC/IES
335,ARCA DE NOE CENTRO DE EDUCACAO INFANTIL,R CEU TROPICAL,248-,256,04382-120,+55 11 2679-2329,,+55 11 2679-2329,ab-nascente@bol.com.br,35567553,CR.P.CONV
336,JOAQUIM EUGENIO LIMA NETO,R CHAPADA DIAMANTINA,521,,08450-150,+55 11 2557-9569,,,e037072a@educacao.sp.gov.br,35037072,EE
337,HARMONIA ESCOLA DE EDUCACAO INFANTIL,R CHIMARRAO,152,,05766-360,+55 11 5844-6635,,,soudoharmonia@ig.com.br,35567607,EP
338,IMPERIO CHOCOLATE TEENS COLEGIO UNIDADE II,R CHORAO SALGUEIRO,225,,08180-305,+55 11 2585-6032,,,brunelimeta@ig.com.br,35568892,EP
339,AMERICANOPOLIS,R CINCO DE OUTUBRO,63,,04335-050,,,,,35574338,EDUCAÇÃO COMPLEMENTAR
340,VILA JACUI,R CINTURAO VERDE,471,,03812-050,,,,,35573358,EDUCAÇÃO COMPLEMENTAR
341,NOSSA ESCOLA DE EDUCACAO INFANTIL,R CIRENE JORGE RIBEIRO,600,,03616-040,+55 11 2791-5996,,,nossa_escola@superig.com.br,35564266,EP
342,ZAKI NARCHI,R CLAUDINO ALVES,32,,02037-010,,,,,35572822,EDUCAÇÃO COMPLEMENTAR
343,MUNDO FELIZ CENTRO DE EDUCACAO INFANTIL,R CLAUDIO,290,,05043-000,+55 11 2153-8389,,,cei_mundofeliz@hotmail.com,35568570,PRIVADA COMUNITÁRIA
344,EVOLVE COLEGIO,R CLEMENTINE BRENNE,385,,05659-000,+55 11 4116-0791,,+55 11 4116-0791,contato@colegioevolve.com.br,35561174,EP
345,NUCLEO CULTURAL SEMEANDO ESPERANCA,R CLENIO WANDERLEY,210,,03977-520,,,,,35575689,EDUCAÇÃO COMPLEMENTAR
346,SANTO ANTONIO,R CLERMONT,243,,05723-350,,,,,35570357,EDUCAÇÃO COMPLEMENTAR
347,CIDADE DO SOL - IMPERADOR,RUA COMANDANTE TAYLOR,1507,,04233-310,,,,,35572044,EDUCAÇÃO COMPLEMENTAR
348,AQUARELA - JARDIM REBOUCAS,R COATINGA,204,,05756-340,,,,,35575495,EDUCAÇÃO COMPLEMENTAR
349,PROJETO CONSTRUINDO O FUTURO,R COELHO NETO,164,,03150-010,,,,,35572330,EDUCAÇÃO COMPLEMENTAR
